User_Name,followers_Count,Likes,Retweets,Reply,Impression,Text,Label,hashtags,Lemma,Porterstemmer,Snowballstemmer
Insider Business,3991839,6,2,2,4134,"Adidas' new CEO came out swinging during his first press conference, calling out Nike's lack of innovation and defending the three stripes https://t.co/uI08S7nBam",Adidas,,adidas new ceo came swinging first press conference calling nike lack innovation defending three stripe,adida new ceo came swing first press confer call nike lack innov defend three stripe,adida new ceo came swing first press confer call nike lack innov defend three stripe
Business Insider Africa,15997,1,0,0,61,"#LEADERS | Adidas' new CEO came out swinging during his first press conference, calling out Nike's lack of innovation and defending the three stripes

https://t.co/o39qV9D13C",Adidas,leaders,adidas new ceo came swinging first press conference calling nike lack innovation defending three stripe,adida new ceo came swing first press confer call nike lack innov defend three stripe,adida new ceo came swing first press confer call nike lack innov defend three stripe
The Sole Supplier,268027,6,2,1,4506,"adidas is considering donating profits from leftover Yeezy stock to charity 😯 

Link &gt; https://t.co/kv3X4bCO6A https://t.co/VO2bSCKfnm",Adidas,,adidas considering donating profit leftover yeezy stock charity link gt,adida consid donat profit leftov yeezi stock chariti link gt,adida consid donat profit leftov yeezi stock chariti link gt
IOS Sports & Entertainment,5859,1,0,0,24,"#TeamIOS is happy to facilitate this
.
With UNBREAKABLE determination and focus, Olympic medalist, Lovlina has the World Championship in sight.
@LovlinaBorgohai x @adidas
.
#Affirmations #Womensday #powerfulwomen #womenleader #TeamIOSSports #SportsMarketing https://t.co/seWOJlPj1D",Adidas,teamios affirmations womensday powerfulwomen womenleader teamiossports sportsmarketing,happy facilitate unbreakable determination focus olympic medalist lovlina world championship sight x,happi facilit unbreak determin focu olymp medalist lovlina world championship sight x,happi facilit unbreak determin focus olymp medalist lovlina world championship sight x
FOX 5 San Diego,212809,1,0,0,152,"CEO Bjorn Gulden said selling the popular line of shoes would mean paying royalties to Ye, who was dropped by Adidas five months ago after making antisemitic remarks on social media and in interviews. https://t.co/rINdyaYIcX",Adidas,,ceo bjorn gulden said selling popular line shoe would mean paying royalty ye dropped adidas five month ago making antisemitic remark social medium interview,ceo bjorn gulden said sell popular line shoe would mean pay royalti ye drop adida five month ago make antisemit remark social media interview,ceo bjorn gulden said sell popular line shoe would mean pay royalti ye drop adida five month ago make antisemit remark social media interview
Man Savings,108729,29,1,3,11858,"Ad: Just dropped🟦🟦

A new exclusive colourway of adidas Jeans have just appeared on site and are now available.

🛒https://t.co/WQhXKWtOir https://t.co/5TirZ2SirO",Adidas,,ad dropped new exclusive colourway adidas jean appeared site available,ad drop new exclus colourway adida jean appear site avail,ad drop new exclus colourway adida jean appear site avail
KVOA News 4 Tucson,87970,0,0,0,84,"Adidas has warned that it could suffer its first annual operating loss in more than three decades this year, mostly because it may have to write off the entire range of Yeezy-branded clothing and sneakers. https://t.co/uQWMFYTwEL",Adidas,,adidas warned could suffer first annual operating loss three decade year mostly may write entire range yeezy branded clothing sneaker,adida warn could suffer first annual oper loss three decad year mostli may write entir rang yeezi brand cloth sneaker,adida warn could suffer first annual oper loss three decad year most may write entir rang yeezi brand cloth sneaker
FOX 11 Los Angeles,378254,1,1,1,633,"The company's CEO said Wednesday that selling the popular line of shoes would mean paying royalties to Ye. He says destroying them could raise ""sustainability issues,” while restitching them for resale “is not very honest.”  https://t.co/GlF5hBwBL4",Adidas,,company ceo said wednesday selling popular line shoe would mean paying royalty ye say destroying could raise sustainability issue restitching resale honest,compani ceo said wednesday sell popular line shoe would mean pay royalti ye say destroy could rais sustain issu restitch resal honest,compani ceo said wednesday sell popular line shoe would mean pay royalti ye say destroy could rais sustain issu restitch resal honest
Finans,11795,0,0,0,143,Adidas losses mount as company eyes options for ditching Yeezy shoes https://t.co/FGAZmuVrAD https://t.co/qoDcLQZbif,Adidas,,adidas loss mount company eye option ditching yeezy shoe,adida loss mount compani eye option ditch yeezi shoe,adida loss mount compani eye option ditch yeezi shoe
Interaksyon,215669,1,1,0,1108,"Adidas will slash its 2022 dividend, the sportswear maker said, after warning a split with the artist formerly known as Kanye West could push it to its first annual loss in three decades this year.

https://t.co/4p6nbTI1tU",Adidas,,adidas slash dividend sportswear maker said warning split artist formerly known kanye west could push first annual loss three decade year,adida slash dividend sportswear maker said warn split artist formerli known kany west could push first annual loss three decad year,adida slash dividend sportswear maker said warn split artist former known kany west could push first annual loss three decad year
